DATE_TIME,LONGITUDE,LATITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES
2024-07-01 00:00:00,29.2950439453125,41.1135864257813,sxkcfs,25,163,94,156
2024-07-01 00:00:00,28.8116455078125,41.0696411132813,sxk3xs,16,143,79,267
2024-07-01 00:00:00,28.6798095703125,40.9872436523438,sxk3ht,48,94,68,60
2024-07-01 00:00:00,29.3060302734375,41.0751342773438,sxkcdv,39,105,74,31
2024-07-01 00:00:00,28.8446044921875,40.9982299804688,sxk90r,2,44,18,69
2024-07-01 00:00:00,28.8995361328125,41.0531616210938,sxk999,1,50,21,37
2024-07-01 00:00:00,28.6029052734375,41.2619018554688,sxk6dz,78,131,101,6
2024-07-01 00:00:00,29.2620849609375,41.0037231445313,sxkc3b,7,89,43,25
2024-07-01 00:00:00,29.3170166015625,40.9378051757813,sxkbgh,7,98,54,53
2024-07-01 00:00:00,28.8006591796875,41.0861206054688,sxk3xr,11,96,49,20
2024-07-01 00:00:00,29.0863037109375,41.0751342773438,sxk9tv,35,70,53,5
2024-07-01 00:00:00,29.3829345703125,41.0971069335938,sxkcu9,53,118,74,13
2024-07-01 00:00:00,29.3499755859375,40.9323120117188,sxkbgg,41,154,76,138
2024-07-01 00:00:00,28.1414794921875,41.0861206054688,sxk18r,63,136,95,41
2024-07-01 00:00:00,28.8555908203125,40.9817504882813,sxk90s,1,84,35,53
2024-07-01 00:00:00,28.8995361328125,41.0696411132813,sxk99s,4,57,22,79
2024-07-01 00:00:00,28.8995361328125,41.0751342773438,sxk99t,5,64,20,93
2024-07-01 00:00:00,29.2840576171875,41.0476684570313,sxkcd2,35,101,64,36
2024-07-01 00:00:00,29.3499755859375,40.9268188476563,sxkbgf,11,149,77,282
2024-07-01 00:00:00,29.1302490234375,40.9378051757813,sxk8yu,1,121,52,269
2024-07-01 00:00:00,29.1522216796875,41.1959838867188,sxkdr7,53,167,99,151
2024-07-01 00:00:00,28.8116455078125,41.0531616210938,sxk3x9,8,131,78,215
2024-07-01 00:00:00,28.8885498046875,40.9872436523438,sxk91m,4,70,28,44
2024-07-01 00:00:00,28.5150146484375,41.1630249023438,sxk60v,71,158,98,74
2024-07-01 00:00:00,29.2510986328125,41.1630249023438,sxkf1t,48,153,91,111
2024-07-01 00:00:00,29.3170166015625,40.9158325195313,sxkbg0,6,149,58,263
2024-07-01 00:00:00,29.2181396484375,41.0092163085938,sxkc2c,2,72,28,72
2024-07-01 00:00:00,28.1634521484375,41.1080932617188,sxk1bg,41,146,76,55
2024-07-01 00:00:00,28.9105224609375,41.0696411132813,sxk99u,1,73,26,65
2024-07-01 00:00:00,29.5477294921875,41.1685180664063,sxm40q,71,127,89,10
2024-07-01 00:00:00,28.6907958984375,41.2509155273438,sxk6sv,33,134,81,87
2024-07-01 00:00:00,28.5040283203125,41.0751342773438,sxk38t,7,171,44,84
2024-07-01 00:00:00,28.9984130859375,41.1849975585938,sxkd7c,30,58,42,3
2024-07-01 00:00:00,28.8665771484375,41.1026000976563,sxk9bf,4,85,31,48
2024-07-01 00:00:00,28.8116455078125,41.0476684570313,sxk3x8,4,132,61,258
2024-07-01 00:00:00,29.3060302734375,40.9542846679688,sxkbfz,21,139,73,136
2024-07-01 00:00:00,29.1192626953125,41.2014770507813,sxkdqs,62,155,94,180
2024-07-01 00:00:00,28.5699462890625,41.1849975585938,sxk661,53,161,93,76
2024-07-01 00:00:00,29.2181396484375,41.0037231445313,sxkc2b,6,59,29,38
2024-07-01 00:00:00,27.9986572265625,41.2069702148438,sx7fmj,43,164,94,47
2024-07-01 00:00:00,28.6138916015625,41.2838745117188,sxk6g5,78,117,92,8
2024-07-01 00:00:00,28.1634521484375,41.1135864257813,sxk1bu,7,128,54,47
2024-07-01 00:00:00,28.8665771484375,41.1080932617188,sxk9bg,2,65,27,42
2024-07-01 00:00:00,29.2840576171875,41.0531616210938,sxkcd3,23,119,70,30
2024-07-01 00:00:00,28.9324951171875,41.1410522460938,sxkd43,38,73,48,9
2024-07-01 00:00:00,29.3060302734375,40.9487915039063,sxkbfy,9,144,84,347
2024-07-01 00:00:00,28.8775634765625,40.9927368164063,sxk91n,3,51,19,14
2024-07-01 00:00:00,28.8006591796875,41.0641479492188,sxk3x7,2,123,60,293
2024-07-01 00:00:00,28.5040283203125,41.1630249023438,sxk60t,72,154,99,71
2024-07-01 00:00:00,28.0755615234375,41.1904907226563,sx7fqf,81,83,82,1
2024-07-01 00:00:00,28.8336181640625,41.1190795898438,sxk9bj,21,140,87,22
2024-07-01 00:00:00,29.3389892578125,40.9103393554688,sxkbex,15,95,51,11
2024-07-01 00:00:00,28.5479736328125,41.2344360351563,sxk69d,77,122,100,6
2024-07-01 00:00:00,28.1524658203125,41.1300659179688,sxk1bx,24,121,67,47
2024-07-01 00:00:00,29.1741943359375,41.1520385742188,sxkdpg,48,81,61,14
2024-07-01 00:00:00,28.8775634765625,41.0971069335938,sxk9c1,3,88,31,39
