LATITUDE_DENSE,LONGITUDE_DENSE,TÜR,MAHAL ADI,İLÇE,LATITUDE_PARK,LONGITUDE_PARK
41.1740112304688,28.9874267578125,Kamu,İSTANBUL ÜNİVERSİTESİ ORMAN FAKÜLTESİ BAHÇESİ,Sarıyer,41.17618292,28.99082780
41.0147094726563,28.9764404296875,Koru,GÜLHANE KORUSU,Fatih,41.01417487,28.98085669
41.0147094726563,28.9764404296875,Kamu,İSTANBUL VALİLİĞİ BAHÇESİ,Fatih,41.01228861,28.97661209
41.0147094726563,28.9764404296875,Park,SİRKECİ GAR ÖNÜ PARKI,Fatih,41.01604083,28.97674620
41.0147094726563,28.9764404296875,Cadde (Kavşak ve Refüj),SİRKECİ - UNKAPANI ARASI ORTA VE YAN REFÜJLER,Fatih,41.01646178,28.97641361
40.9927368164063,28.9215087890625,Park,KOCA MUSTAFA PAŞA SAHİL PARKI,Fatih,40.99008256,28.92576277
40.9927368164063,28.9215087890625,Park,MERMERKULE PARKI,Fatih,40.99098350,28.92536581
40.9927368164063,28.9215087890625,Park,ULUSLARARASI BARIŞ PARKI,Fatih,40.99020404,28.91971707
40.9927368164063,28.9215087890625,Cadde (Kavşak ve Refüj),YEDİKULE KAVŞAĞI,Zeytinburnu,40.98881110,28.91898751
40.8389282226563,29.3170166015625,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",İÇMELER KAVŞAĞI - TUZLA KAVŞAĞI ARASI YAN REFÜJLER,Tuzla,40.840917,29.313515
40.8389282226563,29.3170166015625,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TUZLA KAVŞAĞI - BAYRAMOĞLU ARASI YAN REFÜJLER,Tuzla,40.837174,29.322291
41.0421752929688,28.4710693359375,Kamu,KUMBURGAZ İTFAİYE İSTASYONU BAHÇESİ,Büyükçekmece,41.03977255,28.46785519
40.8663940429688,29.3499755859375,Park,AYDINLI BÖLGE PARKI,Tuzla,40.86400422,29.34617758
40.8663940429688,29.3499755859375,Cadde (Kavşak ve Refüj),TUZLA HAL YOLU CADDESİ ORTA REFÜJ,Tuzla,40.86513572,29.35387554
40.9048461914063,29.1851806640625,Kamu,ŞEHİT JANDARMA ER RIDVAN ÇELİK PARKI,Kartal,40.90157686,29.18894112
40.9103393554688,29.1851806640625,Cadde (Kavşak ve Refüj),ÇANAKKALE CADDESİ ORTA REFÜJLER,Kartal,40.90890315,29.18060482
40.9103393554688,29.1851806640625,Kamu,İBB KARTAL EK HİZMET BİNASI BAHÇESİ,Kartal,40.91349231,29.18525577
41.0586547851563,28.3721923828125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ORTAKÖY KAVŞAĞI,Silivri,41.05910481,28.36895875
41.0531616210938,28.8226318359375,Park,BAĞCILAR TRAFİK EGİTİM PİSTİ PARKI,Bağcılar,41.05044523,28.82309065
40.8828735351563,29.2510986328125,Park,BOTAŞ PARKI - 1,Pendik,40.87999061,29.25146878
40.8828735351563,29.2510986328125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDİK KAVŞAĞI - TERSANE KAVŞAĞI ARASI YAN REFÜJLER,Pendik,40.881680,29.249056
41.0751342773438,28.7677001953125,Kamu,OLİMPİYAT KÖYÜ VE ÇEVRESİ,Başakşehir,41.07462794,28.76667023
40.9487915039063,29.2181396484375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ORTADAĞ KÖPRÜLÜ KAVŞAĞI,Kartal,40.94483763,29.21623528
40.9487915039063,29.2181396484375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SAMANDIRA KAVŞAĞI - ORTADAĞ KÖPRÜLÜ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Sancaktepe,40.95038049,29.21985090
41.0531616210938,28.7567138671875,Park,HASANOĞLU DERESİ PARKI,Küçükçekmece,41.05683250,28.75742158
40.8773803710938,29.3170166015625,Cadde (Kavşak ve Refüj),AYDINLI KAVŞAĞI KAVŞAK ORTA VE YAN REFÜJLER,Tuzla,40.87936599,29.31339025
41.0531616210938,28.7127685546875,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TEM TAHTAKALE KÖPRÜSÜ - TEM ISPARTAKULE VİYADÜK ARASI ORTA VE YAN REFÜJLER,Başakşehir,41.05667664,28.71123648
41.1300659179688,28.4710693359375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ÇATALCA ÇAKIL KAVŞAĞI,Çatalca,41.13081537,28.47339749
41.1300659179688,28.4710693359375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ÇATALCA ÇAKIL KAVŞAĞI - ÇATALCA ARASI ORTA VE YAN REFÜJLER,Çatalca,41.13255277,28.47091913
41.0421752929688,28.9324951171875,Cadde (Kavşak ve Refüj),EYÜP BULVARI ORTA VE YAN REFÜJLER,Eyüpsultan,41.04622288,28.93248439
41.0421752929688,28.9324951171875,Cadde (Kavşak ve Refüj),FESHANE ALİBEYKÖY MERKEZ ARASI ORTA VE YAN REFÜJLER,Eyüpsultan,41.04330382,28.93762350
41.0421752929688,28.9324951171875,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",M. FEVZİ ÇAKMAK CADDESİ - FSM BULVARI ARASI ORTA VE YAN REFÜJLER,Eyüpsultan,41.04622288,28.93248439
41.0421752929688,28.9324951171875,Park,OTAĞCILAR PARKI,Eyüpsultan,41.03948234,28.93582374
41.0421752929688,28.9324951171875,Kamu,EYÜP FESHANE TASAVVUF VE OSMANLI KIYAFETLERİ MÜZESİ,Eyüpsultan,41.04420201,28.93762887
41.0421752929688,28.8116455078125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",GÜNEŞLİ - HALKALI KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Bağcılar,41.03802080,28.81067203
41.0421752929688,28.8116455078125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",HALKALI KAVŞAĞI - İKİTELLİ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Küçükçekmece,41.04264771,28.8092020
41.0147094726563,28.7677001953125,Cadde (Kavşak ve Refüj),HALKALI İSTASYON CADDESİ ORTA REFÜJLER,Küçükçekmece,41.017949,28.768483
40.9817504882813,28.8226318359375,Kamu,HAVAALANI CUMHURBAŞKANLIĞI DEVLET KONUK EVİ BAHÇESİ,Bakırköy,40.98181360,28.81898403
41.0256958007813,28.9874267578125,Park,TOPHANE PARKI,Beyoğlu,41.02709388,28.98185313
40.9982299804688,28.8006591796875,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ÇOBANÇEŞME KAVŞAĞI - FLORYA KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Küçükçekmece,40.99905900,28.79970431
40.9707641601563,28.7896728515625,Park,FLORYA SAHİL PARKI,Bakırköy,40.97004532,28.79125272
40.9707641601563,28.7896728515625,Park,KAYALI BAHÇE PARKI,Bakırköy,40.97300068,28.78923982
40.9707641601563,28.7896728515625,Kamu,L MOTEL - GÜNEŞ MOTEL BAHÇESİ,Bakırköy,40.97245815,28.78695846
41.0421752929688,28.6907958984375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAHÇEŞEHİR KÖPRÜLÜ KAVŞAĞI - ESENYURT KÖPRÜLÜ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Başakşehir / Esenyurt,41.04313875,28.69068861
41.0092163085938,28.6688232421875,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",HARAMİDERE KAVŞAĞI - BİZİMKENT KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Beylikdüzü,41.00598043,28.67202371
41.0092163085938,28.6688232421875,Kent Ormanı,YAKUPLU B TİPİ MESİRE ALANI,Beylikdüzü,41.005,28.669
41.0037231445313,28.6688232421875,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",HARAMİDERE KAVŞAĞI - BİZİMKENT KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Beylikdüzü,41.00598043,28.67202371
41.0037231445313,28.6688232421875,Kent Ormanı,YAKUPLU B TİPİ MESİRE ALANI,Beylikdüzü,41.005,28.669
41.0696411132813,28.9544677734375,Mesire Alanı,SADABAT MESİRE ALANI - 1,Kağıthane,41.06725129,28.95825505
41.0696411132813,28.9544677734375,Mesire Alanı,SADABAT MESİRE ALANI - 2,Kağıthane,41.06834328,28.95996094
41.0696411132813,28.9544677734375,Mesire Alanı,SADABAT MESİRE ALANI - 4,Kağıthane,41.06634532,28.95394742
41.0696411132813,28.9544677734375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",HASDAL KAVŞAĞI OKMEYDANI KAVŞAĞI ARASI 2. KISIM ORTA VE YAN REFÜJLER,Kağıthane,41.07101251,28.95705342
41.1520385742188,28.4600830078125,Kamu,İBB ÇATALCA KALEİÇİ ÇEM BAHÇESİ,Çatalca,41.14947997,28.46169233
41.0311889648438,28.8336181640625,Park,BAĞCILAR HÜRRİYET MAHALLESİ PAZAR YERİ PARKI,Bağcılar,41.02945608,28.83270395
41.0311889648438,28.8336181640625,Park,BAĞCILAR KİRAZLI MAHALLESİ ZEMİN ÜSTÜ PARKI,Bağcılar,41.03273441,28.83470443
41.0586547851563,28.6798095703125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TEM AVCILAR KAVŞAĞI,Başakşehir / Avcılar,41.05605855,28.68301105
40.8828735351563,29.2401123046875,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAHÇELİEVLER MAHALLESİ ZÜMRÜT CADDESİ ÜÇGEN ORTA REFÜJLER,Pendik,40.88489000,29.23814892
40.8828735351563,29.2401123046875,Cadde (Kavşak ve Refüj),PENDİK İLHAMİ SOYSAL BULVARI ORTA REFÜJLER,Pendik,40.88137772,29.23975288
41.0971069335938,29.0423583984375,Park,BALTALİMANI YAŞAM VADİSİ,Sarıyer,41.0985487,29.0474801
41.0916137695313,28.5150146484375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ÇATALCA AHMEDİYE KAVŞAĞI,Çatalca,41.08716311,28.51485372
40.8773803710938,29.2401123046875,Cadde (Kavşak ve Refüj),PENDİK İLHAMİ SOYSAL BULVARI ORTA REFÜJLER,Pendik,40.88137772,29.23975288
40.8773803710938,29.2401123046875,Kamu,İETT DURAKLARI VE PAZAR YERİ ORTA VE YAN REFÜJLER,Pendik,40.87438100,29.24421608
40.8773803710938,29.2401123046875,Park,TAHSİN ARCAN PARKI,Pendik,40.87686300,29.23889400
40.8938598632813,29.2071533203125,Kamu,İBB YUNUS MAHALLESİ ÇEM BAHÇESİ,Kartal,40.89521891,29.20985699
41.0971069335938,28.9874267578125,Cadde (Kavşak ve Refüj),İSBAK ÜSTÜ YAN REFÜJLER,Eyüpsultan,41.09454562,28.98522198
41.0971069335938,28.9874267578125,Park,SEYRANTEPE 700. YIL PARKI,Kağıthane,41.09735123,28.98944914
41.0147094726563,28.8226318359375,Kamu,İBB DR. ENVER ÖREN KÜLTÜR MERKEZİ BAHÇESİ,Bahçelievler,41.01319835,28.81908899
41.0147094726563,28.8226318359375,Kamu,İBB BAHÇELİEVLER YENİBOSNA MERKEZ ÇEM BAHÇESİ,Bahçelievler,41.01319835,28.81908899
41.0421752929688,28.8665771484375,Kamu,HAKKI BAŞAR SPOR KOMPLEKSİ BAHÇESİ,Esenler,41.04542789,28.86624992
40.9707641601563,29.0423583984375,Kamu,FENERBAHÇE ORDUEVİ BAHÇESİ,Kadıköy,40.96941632,29.04449344
41.0696411132813,28.3831787109375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TEM SELİMPAŞA KAVŞAĞI,Silivri,41.07013734,28.38511848
40.9982299804688,29.0313720703125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ACIBADEM CADDESİ ORTA REFÜJ,Kadıköy,40.99723506,29.03654069
40.9982299804688,29.0313720703125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",AYRILIKÇEŞME MARMARAY DURAKLARI ÇEVRESİ,Kadıköy,41.00076547,29.02981907
40.9982299804688,29.0313720703125,Cadde (Kavşak ve Refüj),PARİS MAHALLESİ ORTA REFÜJ,Kadıköy,40.995668,29.032209
40.9652709960938,29.2181396484375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SAMANDIRA KAVŞAĞI,Sancaktepe,40.96867914,29.21855807
40.9927368164063,29.0423583984375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SÖĞÜTLÜÇEŞME KAVŞAĞI - UZUNÇAYIR KAVŞAĞI ARASI YAN REFÜJLER,Kadıköy,40.991738,29.041842
40.9927368164063,29.0423583984375,Kamu,HASANPAŞA GAZHANESİ,Kadıköy,40.995546,29.043128
41.0037231445313,28.8775634765625,Kamu,BAHÇELİEVLER YÜZME HAVUZU BAHÇESİ,Bahçelievler,41.00213386,28.88054341
41.0421752929688,28.7677001953125,Park,MENEKŞE DERESİ PARKI,Küçükçekmece,41.03955850,28.77105899
40.9817504882813,29.0533447265625,Cadde (Kavşak ve Refüj),KADIKÖY MİNİBÜS CADDESİ ORTA VE YAN REFÜJLER,Kadıköy,40.985051,29.051564
40.9872436523438,29.0863037109375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",GÖZTEPE KAVŞAĞI - KOZYATAĞI ARASI YAN REFÜJLER,Kadıköy,40.988565,29.084164
40.9927368164063,29.0753173828125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",GÖZTEPE KAVŞAĞI,Kadıköy,40.993590,29.073116
41.1245727539063,29.1302490234375,Cadde (Kavşak ve Refüj),POLONEZKÖY KAVŞAĞI,Beykoz,41.12185690,29.12984937
41.1245727539063,29.1302490234375,Cadde (Kavşak ve Refüj),POLONEZKÖY KAVŞAĞI - RİVA BAĞLANTI YOLU ARASI ORTA VE YAN REFÜJLER,Beykoz,41.12146491,29.13393438
40.9927368164063,28.7896728515625,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",FLORYA KAVŞAĞI,Küçükçekmece / Bakırköy,40.99058061,28.79172206
41.0476684570313,28.4710693359375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TEM KUMBURGAZ KAVŞAĞI - E5 KUMBURGAZ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Büyükçekmece,41.04971224,28.46945572
40.9432983398438,29.1632080078125,Park,HACI BAYRAM VELİ CADDESİ PARKI,Maltepe,40.94282378,29.16028976
40.9432983398438,29.1632080078125,Park,KANUNİ SULTAN SÜLEYMAN PARKI,Maltepe,40.94566423,29.16414142
41.1465454101563,28.4600830078125,Kamu,İBB ÇATALCA KALEİÇİ ÇEM BAHÇESİ,Çatalca,41.14947997,28.46169233
41.0531616210938,28.4710693359375,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TEM KUMBURGAZ KAVŞAĞI - E5 KUMBURGAZ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Büyükçekmece,41.04971224,28.46945572
40.9158325195313,29.1302490234375,Park,İDEALTEPE - DRAGOS ARASI KARA VE SAHİL PARKI,Maltepe,40.91664562,29.13070416
41.0202026367188,29.0753173828125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BULGURLU KAVŞAĞI,Üsküdar,41.02063874,29.07500625
41.0202026367188,29.0753173828125,Metro Çıkışı,BULGURLU METRO İSTASYONU,Üsküdar,41.01633226,29.07609254
41.0202026367188,29.0753173828125,Cadde (Kavşak ve Refüj),LİBADİYE CADDESİ ORTA REFÜJ - 1,Üsküdar,41.01856244,29.07529593
41.0202026367188,29.0753173828125,Cadde (Kavşak ve Refüj),NAMAZGAH ORTA VE YAN REFÜJLER,Üsküdar,41.02254258,29.07850232
41.0202026367188,29.0753173828125,Kamu,İSKİ BULGURLU YERLİ SUYU MEMBA ALANI,Üsküdar,41.02034328,29.06944335
40.9817504882813,28.7786865234375,Kamu,İBB BAKIRKÖY ŞENLİKKÖY ÇEM BAHÇESİ,Bakırköy,40.983193,28.781990
41.0202026367188,28.9105224609375,Cadde (Kavşak ve Refüj),VATAN CADDESİ KAVŞAĞI - OSMANİYE KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Zeytinburnu,41.01935573,28.91628385
41.0366821289063,28.8995361328125,Cadde (Kavşak ve Refüj),DAVUTPAŞA ORTA VE YAN REFÜJLER,Bayrampaşa / Güngören,41.03586700,28.89410734
